index,sentiment,text,pretoken,token,stemmed,lemmatized,posttoken,nonletterclean
"0","0","is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!","is upset that he cannot update his Facebook by texting it... and might cry as a result School today also. Blah!","['is', 'upset', 'that', 'he', 'cannot', 'update', 'his', 'Facebook', 'by', 'texting', 'it', '...', 'and', 'might', 'cry', 'as', 'a', 'result', 'School', 'today', 'also', '.', 'Blah', '!']","['is', 'upset', 'that', 'he', 'cannot', 'updat', 'hi', 'facebook', 'by', 'text', 'it', '...', 'and', 'might', 'cri', 'as', 'a', 'result', 'school', 'today', 'also', '.', 'blah', '!']","['be', 'upset', 'that', 'he', 'cannot', 'update', 'his', 'facebook', 'by', 'texting', 'it', '...', 'and', 'might', 'cry', 'as', 'a', 'result', 'school', 'today', 'also', '.', 'blah', '!']","['be', 'upset', 'that', 'he', 'cannot', 'update', 'his', 'facebook', 'by', 'texting', 'it', 'and', 'might', 'cry', 'as', 'a', 'result', 'school', 'today', 'also', 'blah']","be upset that he cannot update his facebook by texting it and might cry as a result school today also blah"
"1","0","@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds","I dived many times for the ball. Managed to save 50% The rest go out of bounds","['I', 'dived', 'many', 'times', 'for', 'the', 'ball', '.', 'Managed', 'to', 'save', '50', '%', 'The', 'rest', 'go', 'out', 'of', 'bounds']","['i', 'dive', 'mani', 'time', 'for', 'the', 'ball', '.', 'manag', 'to', 'save', '50', '%', 'the', 'rest', 'go', 'out', 'of', 'bound']","['i', 'dive', 'many', 'time', 'for', 'the', 'ball', '.', 'manage', 'to', 'save', '50', '%', 'the', 'rest', 'go', 'out', 'of', 'bound']","['i', 'dive', 'many', 'time', 'for', 'the', 'ball', 'manage', 'to', 'save', 'the', 'rest', 'go', 'out', 'of', 'bound']","i dive many time for the ball manage to save the rest go out of bound"
"2","0","my whole body feels itchy and like its on fire ","my whole body feels itchy and like its on fire","['my', 'whole', 'body', 'feels', 'itchy', 'and', 'like', 'its', 'on', 'fire']","['my', 'whole', 'bodi', 'feel', 'itchi', 'and', 'like', 'it', 'on', 'fire']","['my', 'whole', 'body', 'feel', 'itchy', 'and', 'like', 'its', 'on', 'fire']","['my', 'whole', 'body', 'feel', 'itchy', 'and', 'like', 'its', 'on', 'fire']","my whole body feel itchy and like its on fire"
"3","0","@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ","no, it is not behaving at all. i am mad. why am i here? because I cannot see you all over there.","['no', ',', 'it', 'is', 'not', 'behaving', 'at', 'all', '.', 'i', 'am', 'mad', '.', 'why', 'am', 'i', 'here', '?', 'because', 'I', 'cannot', 'see', 'you', 'all', 'over', 'there', '.']","['no', ',', 'it', 'is', 'not', 'behav', 'at', 'all', '.', 'i', 'am', 'mad', '.', 'whi', 'am', 'i', 'here', '?', 'becaus', 'i', 'cannot', 'see', 'you', 'all', 'over', 'there', '.']","['no', ',', 'it', 'be', 'not', 'behave', 'at', 'all', '.', 'i', 'be', 'mad', '.', 'why', 'be', 'i', 'here', '?', 'because', 'i', 'cannot', 'see', 'you', 'all', 'over', 'there', '.']","['no', 'it', 'be', 'not', 'behave', 'at', 'all', 'i', 'be', 'mad', 'why', 'be', 'i', 'here', 'because', 'i', 'cannot', 'see', 'you', 'all', 'over', 'there']","no it be not behave at all i be mad why be i here because i cannot see you all over there"
"4","0","@Kwesidei not the whole crew ","not the whole crew","['not', 'the', 'whole', 'crew']","['not', 'the', 'whole', 'crew']","['not', 'the', 'whole', 'crew']","['not', 'the', 'whole', 'crew']","not the whole crew"
"5","0","Need a hug ","Need a hug","['Need', 'a', 'hug']","['need', 'a', 'hug']","['need', 'a', 'hug']","['need', 'a', 'hug']","need a hug"
"6","0","@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?","hey long time no see! Yes.. Rains a bit ,only a bit LOL , I am fine thanks , how is you ?","['hey', 'long', 'time', 'no', 'see', '!', 'Yes', '..', 'Rains', 'a', 'bit', ',', 'only', 'a', 'bit', 'LOL', ',', 'I', 'am', 'fine', 'thanks', ',', 'how', 'is', 'you', '?']","['hey', 'long', 'time', 'no', 'see', '!', 'ye', '..', 'rain', 'a', 'bit', ',', 'onli', 'a', 'bit', 'lol', ',', 'i', 'am', 'fine', 'thank', ',', 'how', 'is', 'you', '?']","['hey', 'long', 'time', 'no', 'see', '!', 'yes', '..', 'rain', 'a', 'bit', ',', 'only', 'a', 'bit', 'lol', ',', 'i', 'be', 'fine', 'thanks', ',', 'how', 'be', 'you', '?']","['hey', 'long', 'time', 'no', 'see', 'yes', 'rain', 'a', 'bit', 'only', 'a', 'bit', 'lol', 'i', 'be', 'fine', 'thanks', 'how', 'be', 'you']","hey long time no see yes rain a bit only a bit lol i be fine thanks how be you"
"7","0","@Tatiana_K nope they didn't have it ","nope they did not have it","['nope', 'they', 'did', 'not', 'have', 'it']","['nope', 'they', 'did', 'not', 'have', 'it']","['nope', 'they', 'do', 'not', 'have', 'it']","['nope', 'they', 'do', 'not', 'have', 'it']","nope they do not have it"
"8","0","@twittera que me muera ? ","que me muera ?","['que', 'me', 'muera', '?']","['que', 'me', 'muera', '?']","['que', 'me', 'muera', '?']","['que', 'me', 'muera']","que me muera"
"9","0","spring break in plain city... it's snowing ","spring break in plain city... it is snowing","['spring', 'break', 'in', 'plain', 'city', '...', 'it', 'is', 'snowing']","['spring', 'break', 'in', 'plain', 'citi', '...', 'it', 'is', 'snow']","['spring', 'break', 'in', 'plain', 'city', '...', 'it', 'be', 'snow']","['spring', 'break', 'in', 'plain', 'city', 'it', 'be', 'snow']","spring break in plain city it be snow"
