index,posttoken
"0","['be', 'upset', 'that', 'he', 'cannot', 'update', 'his', 'facebook', 'by', 'texting', 'it', 'and', 'might', 'cry', 'as', 'a', 'result', 'school', 'today', 'also', 'blah']"
"1","['i', 'dive', 'many', 'time', 'for', 'the', 'ball', 'manage', 'to', 'save', 'the', 'rest', 'go', 'out', 'of', 'bound']"
"2","['my', 'whole', 'body', 'feel', 'itchy', 'and', 'like', 'its', 'on', 'fire']"
"3","['no', 'it', 'be', 'not', 'behave', 'at', 'all', 'i', 'be', 'mad', 'why', 'be', 'i', 'here', 'because', 'i', 'cannot', 'see', 'you', 'all', 'over', 'there']"
"4","['not', 'the', 'whole', 'crew']"
"5","['need', 'a', 'hug']"
"6","['hey', 'long', 'time', 'no', 'see', 'yes', 'rain', 'a', 'bit', 'only', 'a', 'bit', 'lol', 'i', 'be', 'fine', 'thanks', 'how', 'be', 'you']"
"7","['nope', 'they', 'do', 'not', 'have', 'it']"
"8","['que', 'me', 'muera']"
"9","['spring', 'break', 'in', 'plain', 'city', 'it', 'be', 'snow']"
"10","['i', 'just', 're-pierced', 'my', 'ear']"
"11","['i', 'could', 'not', 'bear', 'to', 'watch', 'it', 'and', 'i', 'think', 'the', 'ua', 'loss', 'be', 'embarrass', '. . . . .']"
"12","['it', 'it', 'count', 'i', 'do', 'not', 'know', 'why', 'i', 'do', 'either', 'you', 'never', 'talk', 'to', 'me', 'anymore']"
"13","['i', 'would', 'have', 'be', 'the', 'first', 'but', 'i', 'do', 'not', 'have', 'a', 'gun', 'not', 'really', 'though', 'zac', ""snyder's"", 'just', 'a', 'doucheclown']"
"14","['i', 'wish', 'i', 'get', 'to', 'watch', 'it', 'with', 'you', 'i', 'miss', 'you', 'and', 'how', 'be', 'the', 'premiere']"
"15","['hollis', 'death', 'scene', 'will', 'hurt', 'me', 'severely', 'to', 'watch', 'on', 'film', 'wry', 'be', 'director', 'cut', 'not', 'out', 'now']"
"16","['about', 'to', 'file', 'tax']"
"17","['ahh', 'i', 'have', 'always', 'want', 'to', 'see', 'rent', 'love', 'the', 'soundtrack']"
"18","['oh', 'dear', 'be', 'you', 'drink', 'out', 'of', 'the', 'forgotten', 'table', 'drink']"
"19","['i', 'be', 'out', 'most', 'of', 'the', 'day', 'so', 'do', 'not', 'get', 'much', 'do']"
"20","['one', 'of', 'my', 'friend', 'call', 'me', 'and', 'ask', 'to', 'meet', 'with', 'her', 'at', 'mid', 'valley', 'today', 'but', 'i', 'have', 'no', 'time', 'sigh']"
"21","['i', 'bake', 'you', 'a', 'cake', 'but', 'i', 'ated', 'it']"
"22","['this', 'week', 'be', 'not', 'go', 'as', 'i', 'have', 'hop']"
"23","['blagh', 'class', 'at', 'tomorrow']"
"24","['i', 'hate', 'when', 'i', 'have', 'to', 'call', 'and', 'wake', 'people', 'up']"
"25","['just', 'go', 'to', 'cry', 'myself', 'to', 'sleep', 'after', 'watch', 'marley', 'and', 'me']"
"26","['i', 'be', 'sad', 'now', 'miss.lilly']"
"27","['oooh', 'lol', 'that', 'leslie', 'and', 'ok', 'i', 'will', 'not', 'do', 'it', 'again', 'so', 'leslie', 'will', 'not', 'get', 'mad', 'again']"
"28","['meh', 'almost', 'lover', 'be', 'the', 'exception', 'this', 'track', 'get', 'me', 'depressed', 'every', 'time']"
"29","['some', 'hack', 'my', 'account', 'on', 'aim', 'now', 'i', 'have', 'to', 'make', 'a', 'new', 'one']"
"30","['i', 'want', 'to', 'go', 'to', 'promote', 'gear', 'and', 'groove', 'but', 'unfornately', 'no', 'ride', 'there', 'i', 'may', 'b', 'go', 'to', 'the', 'one', 'in', 'anaheim', 'in', 'may', 'though']"
"31","['think', 'sleep', 'in', 'be', 'an', 'option', 'tomorrow', 'but', 'realize', 'that', 'it', 'now', 'be', 'not', 'evaluation', 'in', 'the', 'morning', 'and', 'work', 'in', 'the', 'afternoon']"
"32","['awe', 'i', 'love', 'you', 'too', 'be', 'here', 'i', 'miss', 'you']"
"33","['i', 'cry', 'my', 'asian', 'eye', 'to', 'sleep', 'at', 'night']"
"34","['ok', 'i', 'be', 'sick', 'and', 'spend', 'an', 'hour', 'sit', 'in', 'the', 'shower', 'because', 'i', 'be', 'too', 'sick', 'to', 'stand', 'and', 'hold', 'back', 'the', 'puke', 'like', 'a', 'champ', 'bed', 'now']"
"35","['ill', 'tell', 'ya', 'the', 'story', 'later', 'not', 'a', 'good', 'day', 'and', 'ill', 'be', 'workin', 'for', 'like', 'three', 'more', 'hour']"
"36","['sorry', 'bed', 'time', 'come', 'here', 'gmt']"
"37","['i', 'do', 'not', 'either', 'its', 'depressing', 'i', 'do', 'not', 'think', 'i', 'even', 'want', 'to', 'know', 'about', 'the', 'kid', 'in', 'suitcase']"
"38","['bed', 'class', 'work', 'gym', 'or', 'then', 'class', 'another', 'day', 'that', 'be', 'go', 'to', 'fly', 'by', 'i', 'miss', 'my', 'girlfriend']"
"39","['really', 'do', 'not', 'feel', 'like', 'get', 'up', 'today', 'but', 'get', 'to', 'study', 'to', 'for', 'tomorrow', 'practical', 'exam']"
"40","['he', 'be', 'the', 'reason', 'for', 'the', 'teardrop', 'on', 'my', 'guitar', 'the', 'only', 'one', 'who', 'have', 'enough', 'of', 'me', 'to', 'break', 'my', 'heart']"
"41","['sad', 'sad', 'sad', 'i', 'do', 'not', 'know', 'why', 'but', 'i', 'hate', 'this', 'feeling', 'i', 'want', 'to', 'sleep', 'and', 'i', 'still', 'cannot']"
"42","['awww', 'i', 'soo', 'wish', 'i', 'be', 'there', 'to', 'see', 'you', 'finally', 'comfortable', 'i', 'be', 'sad', 'that', 'i', 'miss', 'it']"
"43","['fall', 'asleep', 'just', 'hear', 'about', 'that', 'tracy', ""girl's"", 'body', 'be', 'find', 'how', 'sad', 'my', 'heart', 'break', 'for', 'that', 'family']"
"44","['yay', 'i', 'be', 'happy', 'for', 'you', 'with', 'your', 'job', 'but', 'that', 'also', 'mean', 'less', 'time', 'for', 'me', 'and', 'you']"
"45","['just', 'check', 'my', 'user', 'timeline', 'on', 'my', 'blackberry', 'it', 'look', 'like', 'the', 'twanking', 'be', 'still', 'happen', 'be', 'people', 'still', 'have', 'probs', 'w', 'bgs', 'and', 'uids']"
"46","['oh', 'man', 'be', 'iron', 's', 'fave', 'top', 'to', 'wear', 'to', 'a', 'meeting', 'burnt', 'it']"
"47","['be', 'strangely', 'sad', 'about', 'lilo', 'and', 'samro', 'break', 'up']"
"48","['oh', 'i', 'be', 'so', 'sorry', 'i', 'do', 'not', 'think', 'about', 'that', 'before', 'retweeting']"
"49","['broadband', 'plan', 'a', 'massive', 'broken', 'promise', 'via', 'www.diigo.com/~tautao', 'still', 'wait', 'for', 'broadband', 'we', 'be']"
"50","['wow', 'ton', 'of', 'reply', 'from', 'you', 'may', 'have', 'to', 'unfollow', 'so', 'i', 'can', 'see', 'my', 'friend', 'tweet', 'you', 'be', 'scroll', 'the', 'feed', 'a', 'lot']"
"51","['our', 'duck', 'and', 'chicken', 'be', 'take', 'wayyy', 'too', 'long', 'to', 'hatch']"
"52","['put', 'vacation', 'photo', 'online', 'a', 'few', 'yr', 'ago', 'pc', 'crash', 'and', 'now', 'i', 'forget', 'the', 'name', 'of', 'the', 'site']"
"53","['i', 'need', 'a', 'hug']"
"54","['not', 'sure', 'what', 'they', 'be', 'only', 'that', 'they', 'be', 'pos', 'as', 'much', 'as', 'i', 'want', 'to', 'i', 'do', 'not', 'think', 'can', 'trade', 'away', 'company', 'asset', 'sorry', 'andy']"
"55","['i', 'hate', 'when', 'that', 'happen']"
"56","['i', 'have', 'a', 'sad', 'feeling', 'that', 'dallas', 'be', 'not', 'go', 'to', 'show', 'up', 'i', 'get', 'to', 'say', 'though', 'you', 'would', 'think', 'more', 'show', 'would', 'use', 'music', 'from', 'the', 'game', 'mmm']"
"57","['ugh', 'degree', 'tomorrow']"
"58","['where', 'do', 'you', 'move', 'to', 'i', 'think', 'you', 'be', 'already', 'in', 'sd', 'hmmm', 'random', 'you', 'find', 'me', 'glad', 'to', 'hear', 'yer', 'do', 'well']"
"59","['i', 'miss', 'my', 'ps3', 'it', 'be', 'out', 'of', 'commission', 'wutcha', 'playing', 'have', 'you', 'cop', 'blood', 'on', 'the', 'sand']"
"60","['just', 'leave', 'the', 'parking', 'lot', 'of', 'work']"
"61","['the', 'life', 'be', 'cool', 'but', 'not', 'for', 'me']"
"62","['sadly', 'though', 'i', 'have', 'never', 'get', 'to', 'experience', 'the', 'post', 'coitus', 'cigarette', 'before', 'and', 'now', 'i', 'never', 'will']"
"63","['i', 'have', 'such', 'a', 'nice', 'day', 'too', 'bad', 'the', 'rain', 'come', 'in', 'tomorrow', 'at']"
"64","['too', 'bad', 'i', 'will', 'not', 'be', 'around', 'i', 'lose', 'my', 'job', 'and', 'cannot', 'even', 'pay', 'my', 'phone', 'bill', 'lmao', 'aw', 'shuck']"
"65","['damm', 'back', 'to', 'school', 'tomorrow']"
"66","['mo', 'job', 'no', 'money', 'how', 'in', 'the', 'hell', 'be', 'min', 'wage', 'here', ""f'n"", 'clam', 'an', 'hour']"
"67","['not', 'forever', 'see', 'you', 'soon']"
"68","['agree', 'i', 'saw', 'the', 'failwhale', 'alll', 'day', 'today']"
"69","['oh', 'haha', 'dude', 'i', 'do', 'not', 'really', 'look', 'at', 'them', 'unless', 'someone', 'say', 'hey', 'i', 'add', 'you', 'sorry', 'i', 'be', 'so', 'terrible', 'at', 'that', 'i', 'need', 'a', 'pop', 'up']"
"70","['i', 'be', 'sure', 'you', 'be', 'right', 'i', 'need', 'to', 'start', 'work', 'out', 'with', 'you', 'and', 'the', 'nikster', 'or', 'jar', 'at', 'least']"
"71","['i', 'really', 'hate', 'how', 'people', 'diss', 'my', 'band', 'trace', 'be', 'clearly', 'not', 'ugly']"
"72","['gym', 'attire', 'today', 'be', 'puma', 'singlet', 'adidas', 'short', 'and', 'black', 'business', 'sock', 'and', 'leather', 'shoe', 'lucky', 'do', 'not', 'run', 'into', 'any', 'cute', 'girl']"
"73","['why', 'will', 'not', 'you', 'show', 'my', 'location']"
"74","['no', 'picnic', 'my', 'phone', 'smell', 'like', 'citrus']"
"75","['my', 'donkey', 'be', 'sensitive', 'about', 'such', 'comment', 'nevertheless', 'he', 'would', 'and', ""me'd"", 'be', 'glad', 'to', 'see', 'your', 'mug', 'as', 'soon', 'as', 'possible', 'charger', 'be', 'still', 'awol']"
"76","['no', 'new', 'csi', 'tonight', 'fml']"
"77","['i', 'think', 'my', 'arm', 'be', 'sore', 'from', 'tennis']"
"78","['wonder', 'why', 'someone', 'that', 'you', 'like', 'so', 'much', 'can', 'make', 'you', 'so', 'unhappy', 'in', 'a', 'split', 'seccond', 'depress']"
"79","['sleep', 'soon', 'i', 'just', 'hate', 'say', 'bye', 'and', 'see', 'you', 'tomorrow', 'for', 'the', 'night']"
"80","['just', 'get', 'you', 'be', 'newsletter', 'those', 'fare', 'really', 'be', 'unbelievable', 'shame', 'i', 'already', 'book', 'and', 'pay', 'for', 'mine']"
"81","['missin', 'the', 'boo']"
"82","['me', 'too', '#itm']"
"83","['damn', 'i', 'do', 'not', 'have', 'any', 'chalk', 'my', 'chalkboard', 'be', 'useless']"
"84","['have', 'a', 'blast', 'at', 'the', 'getty', 'villa', 'but', 'hat', 'that', 'she', 'be', 'have', 'a', 'sore', 'throat', 'all', 'day', 'it', 'be', 'just', 'get', 'bad', 'too']"
"85","['hey', 'miss', 'ya', 'at', 'the', 'meeting', 'sup', 'mama']"
"86","['my', 'tummy', 'hurt', 'i', 'wonder', 'if', 'the', 'hypnosis', 'have', 'anything', 'to', 'do', 'with', 'it', 'if', 'so', 'it', 'be', 'work', 'i', 'get', 'it', 'stop', 'smoking']"
"87","['why', 'be', 'it', 'always', 'the', 'fat', 'one']"
"88","['sorry', 'babe', 'my', 'fam', 'annoys', 'me', 'too', 'thankfully', 'they', 'be', 'asleep', 'right', 'now', 'muahaha', 'evil', 'laugh']"
"89","['i', 'should', 'have', 'pay', 'more', 'attention', 'when', 'we', 'cover', 'photoshop', 'in', 'my', 'webpage', 'design', 'class', 'in', 'undergrad']"
"90","['wednesday', 'my', 'b-day', 'do', 'not', 'know', 'what', 'do']"
"91","['poor', 'cameron', 'the', 'hill']"
"92","['pray', 'for', 'me', 'please', 'the', 'ex', 'be', 'threaten', 'to', 'start', 'sh', 'at', 'my', 'our', 'baby', 'birthday', 'party', 'what', 'a', 'jerk', 'and', 'i', 'still', 'have', 'a', 'headache']"
"93","['hmm', 'do', 'you', 'really', 'enjoy', 'be', 'with', 'him', 'if', 'the', 'problem', 'be', 'too', 'constant', 'you', 'should', 'think', 'thing', 'more', 'find', 'someone', 'ulike']"
"94","['strider', 'be', 'a', 'sick', 'little', 'puppy']"
"95","['so', 'rylee', 'grace', 'wana', 'go', ""steve's"", 'party', 'or', 'not', 'sadly', 'since', 'its', 'easter', 'i', 'wnt', 'b', 'able', 'do', 'much', 'but', 'ohh', 'well']"
"96","['hey', 'i', 'actually', 'win', 'one', 'of', 'my', 'bracket', 'pool', 'too', 'bad', 'it', 'be', 'not', 'the', 'one', 'for', 'money']"
"97","['you', 'do', 'not', 'follow', 'me', 'either', 'and', 'i', 'work', 'for', 'you']"
"98","['a', 'bad', 'nite', 'for', 'the', 'favorite', 'team', 'astros', 'and', 'spartan', 'lose', 'the', 'nite', 'out', 'with', 't', 'w', 'be', 'good']"
"99","['body', 'of', 'miss', 'northern', 'calif', 'girl', 'find', 'police', 'have', 'find', 'the', 'remains', 'of', 'a', 'miss', 'northern', 'california', 'girl']"
"100","['i', 'hope', 'they', 'will', 'increase', 'the', 'capacity', 'fast', 'yesterday', 'be', 'such', 'a', 'pain', 'get', 'the', 'fail', 'whale', 'time', 'in', 'hour']"
